Player,Year,Pos,Age,G,MP,PTS,TRB,AST
Tony Wroten,2014,PG,20,72,24.5,13.0,3.2,3.0
Adreian Payne,2015,PF,23,32,23.1,6.7,5.1,0.9
Andrew Wiggins,2015,SF,19,82,36.2,16.9,4.6,2.1
Anthony Bennett,2015,PF,21,57,15.7,5.2,3.8,0.8
Arinze Onuaku,2015,C,27,6,11.3,4.5,3.5,0.7
Chase Budinger,2015,SF,26,67,19.2,6.8,3.0,1.0
Gary Neal,2015,SG,30,54,22.1,10.1,2.4,1.9
Gorgui Dieng,2015,C,25,73,30.0,9.7,8.3,2.0
Jeff Adrien,2015,PF,28,17,12.6,3.5,4.5,0.9
Justin Hamilton,2015,C,24,41,17.4,5.3,3.3,0.9
Kevin Garnett,2015,PF,38,47,20.3,6.9,6.6,1.6
Kevin Martin,2015,SG,31,39,33.4,20.0,3.6,2.3
Lorenzo Brown,2015,PG,24,29,18.9,4.2,2.4,3.1
Miroslav Raduljica,2015,C,27,5,4.6,1.6,1.0,0.0
Nikola PekoviÄ‡,2015,C,29,31,26.3,12.5,7.5,0.9
Ricky Rubio,2015,PG,24,22,31.5,10.3,5.7,8.8
Robbie Hummel,2015,SF,25,45,16.5,4.4,3.0,0.6
Ronny Turiaf,2015,C,32,2,9.5,0.0,0.5,1.0
Sean Kilpatrick,2015,SG,25,4,18.0,5.5,1.5,1.0
Shabazz Muhammad,2015,SG,22,38,22.8,13.5,4.1,1.2
Zach LaVine,2015,PG,19,77,24.7,10.1,2.8,3.6
Adreian Payne,2016,PF,24,52,9.3,2.5,2.1,0.6
Andrew Wiggins,2016,SF,20,81,35.1,20.7,3.6,2.0
Damjan RudeÅ¾,2016,SF,29,33,8.4,2.3,0.6,0.3
Gorgui Dieng,2016,C,26,82,27.1,10.1,7.1,1.7
Greg Smith,2016,PF,25,18,10.7,2.4,2.3,0.3
Karl-Anthony Towns,2016,C,20,82,32.0,18.3,10.5,2.0
Kevin Garnett,2016,PF,39,38,14.6,3.2,3.9,1.6
Nemanja Bjelica,2016,PF,27,60,17.9,5.1,3.5,1.4
Nikola PekoviÄ‡,2016,C,30,12,13.0,4.5,1.8,0.9
Ricky Rubio,2016,PG,25,76,30.6,10.1,4.3,8.7
Shabazz Muhammad,2016,SF,23,82,20.5,10.5,3.3,0.6
Tayshaun Prince,2016,SF,35,77,19.0,2.9,1.9,0.9
Tyus Jones,2016,PG,19,37,15.5,4.2,1.3,2.9
Zach LaVine,2016,SG,20,82,28.0,14.0,2.8,3.1
Adreian Payne,2017,PF,25,18,7.5,3.5,1.8,0.4
Andrew Wiggins,2017,SF,21,82,37.2,23.6,4.0,2.3
Brandon Rush,2017,SG,31,47,21.9,4.2,2.1,1.0
Cole Aldrich,2017,C,28,62,8.6,1.7,2.5,0.4
Gorgui Dieng,2017,PF,27,82,32.4,10.0,7.9,1.9
John Lucas III,2017,PG,34,5,2.2,0.4,0.0,0.2
Jordan Hill,2017,C,29,7,6.7,1.7,2.0,0.0
Karl-Anthony Towns,2017,C,21,82,37.0,25.1,12.3,2.7
Kris Dunn,2017,PG,22,78,17.1,3.8,2.1,2.4
Nemanja Bjelica,2017,PF,28,65,18.3,6.2,3.8,1.2
Omri Casspi,2017,PF,28,36,17.9,5.2,3.1,1.0
Ricky Rubio,2017,PG,26,75,32.9,11.1,4.1,9.1
Shabazz Muhammad,2017,SF,24,78,19.4,9.9,2.8,0.4
Tyus Jones,2017,PG,20,60,12.9,3.5,1.1,2.6
Zach LaVine,2017,SG,21,47,37.2,18.9,3.4,3.0
Adrian Griffin,2003,SG,28,74,18.6,4.4,3.6,1.4
Antoine Rigaudeau,2003,SG,31,11,8.3,1.5,0.7,0.5
Avery Johnson,2003,PG,37,48,9.0,3.3,0.6,1.3
Dirk Nowitzki,2003,PF,24,80,39.0,25.1,9.9,3.0
Eduardo NÃ¡jera,2003,SF,26,48,23.0,6.7,4.6,1.0
Evan Eschmeyer,2003,C,27,17,7.9,1.0,1.7,0.4
Mark Strickland,2003,SF,32,4,3.3,1.0,1.8,0.0
Michael Finley,2003,SF,29,69,38.3,19.3,5.8,3.0
Nick Van Exel,2003,SG,31,73,27.8,12.5,2.8,4.3
Popeye Jones,2003,PF,32,26,8.5,2.0,2.3,0.3
Raef LaFrentz,2003,C,26,69,23.3,9.3,4.8,0.8
Raja Bell,2003,SG,26,75,15.6,3.1,1.9,0.8
Shawn Bradley,2003,C,30,81,21.4,6.7,5.9,0.7
Steve Nash,2003,PG,28,82,33.1,17.7,2.9,7.3
Tariq Abdul-Wahad,2003,SG,28,14,14.6,4.1,2.9,1.5
Walt Williams,2003,SF,32,66,17.6,5.5,3.1,0.9
Adrian Griffin,2004,SG,29,19,7.0,0.6,1.0,0.5
Alton Ford,2004,PF,22,9,4.6,1.7,1.2,0.3
BoÅ¡tjan Nachbar,2004,SF,23,45,11.5,3.1,1.6,0.7
Charles Oakley,2004,PF,40,7,3.6,1.3,0.7,0.3
Clarence Weatherspoon,2004,PF,33,52,16.7,5.0,3.9,0.6
Cuttino Mobley,2004,SG,28,80,40.4,15.8,4.5,3.2
Eric Piatkowski,2004,SF,33,49,14.3,4.1,1.5,0.5
Jim Jackson,2004,SF,33,80,39.0,12.9,6.1,2.8
Kelvin Cato,2004,PF,29,69,25.3,6.1,6.8,1.0
Mark Jackson,2004,PG,38,42,13.7,2.5,1.7,2.8
Maurice Taylor,2004,PF,27,75,27.7,11.5,5.1,1.4
Mike Wilks,2004,PG,24,26,5.6,1.9,0.6,0.7
Scott Padgett,2004,PF,27,58,9.4,3.4,2.4,0.4
Steve Francis,2004,PG,26,79,40.4,16.6,5.5,6.2
Yao Ming,2004,C,23,82,32.8,17.5,9.0,1.5
Adrian Griffin,2005,SF,30,69,9.7,2.2,2.1,0.8
AndrÃ©s Nocioni,2005,SF,25,81,23.4,8.4,4.8,1.5
Antonio Davis,2005,PF,36,72,25.6,7.0,5.9,1.1
Ben Gordon,2005,SG,21,82,24.4,15.1,2.6,2.0
Chris Duhon,2005,PG,22,82,26.5,5.9,2.6,4.9
Eddy Curry,2005,C,22,63,28.7,16.1,5.4,0.6
Eric Piatkowski,2005,SG,34,68,12.4,4.8,1.2,0.8
Frank Williams,2005,SG,24,9,7.9,0.7,0.7,1.2
Jannero Pargo,2005,PG,25,32,14.2,6.4,1.5,2.4
Jared Reiner,2005,C,22,19,6.9,1.1,2.0,0.1
Kirk Hinrich,2005,PG,24,77,36.4,15.7,3.9,6.4
Lawrence Funderburke,2005,PF,34,2,10.5,4.5,1.5,0.0
Luol Deng,2005,SF,19,61,27.3,11.7,5.3,2.2
Othella Harrington,2005,PF,31,70,18.2,8.0,4.2,0.8
Tyson Chandler,2005,C,22,80,27.4,8.0,9.7,0.8
Adrian Griffin,2006,SG,31,52,23.9,4.6,4.4,1.7
D.J. Mbenga,2006,C,25,43,5.5,1.7,1.3,0.0
Darrell Armstrong,2006,PG,37,62,10.0,2.1,1.3,1.4
DeSagana Diop,2006,C,24,81,18.6,2.3,4.6,0.3
Devin Harris,2006,PG,22,56,22.8,9.9,2.2,3.2
Dirk Nowitzki,2006,PF,27,81,38.1,26.6,9.0,2.8
Doug Christie,2006,SG,35,7,26.4,3.7,1.9,2.0
Erick Dampier,2006,C,30,82,23.6,5.7,7.8,0.6
Jason Terry,2006,PG,28,80,35.0,17.1,2.0,3.8
Jerry Stackhouse,2006,SG,31,55,27.7,13.0,2.8,2.9
Josh Howard,2006,SF,25,59,32.5,15.6,6.3,1.9
Josh Powell,2006,PF,23,37,11.6,3.0,2.2,0.2
Keith Van Horn,2006,SF,30,53,20.6,8.9,3.6,0.7
Marquis Daniels,2006,SG,25,62,28.5,10.2,3.6,2.8
Pavel Podkolzin,2006,C,21,1,18.0,3.0,7.0,0.0
Rawle Marshall,2006,SF,23,23,10.5,3.1,1.3,0.4
Adrian Griffin,2007,SF,32,54,10.8,2.5,2.0,1.1
Andre Barrett,2007,PG,24,6,4.8,1.3,0.8,1.2
AndrÃ©s Nocioni,2007,PF,27,53,26.5,14.1,5.7,1.1
Ben Gordon,2007,SG,23,82,33.0,21.4,3.1,3.6
Ben Wallace,2007,C,32,77,35.0,6.4,10.7,2.4
Chris Duhon,2007,PG,24,78,24.4,7.2,2.2,4.0
Kirk Hinrich,2007,PG,26,80,35.5,16.6,3.4,6.3
Luol Deng,2007,SF,21,82,37.5,18.8,7.1,2.5
Malik Allen,2007,PF,28,60,10.6,4.0,2.0,0.3
Mike Sweetney,2007,C,24,48,8.0,3.2,2.5,0.6
P.J. Brown,2007,PF,37,72,20.2,6.1,4.8,0.7
Thabo Sefolosha,2007,SG,22,71,12.2,3.6,2.2,0.8
Tyrus Thomas,2007,PF,20,72,13.4,5.2,3.7,0.6
Viktor Khryapa,2007,PF,24,33,7.0,2.2,1.7,0.6
Adrian Griffin,2008,SG-SF,33,35,8.8,1.9,1.7,0.8
Chris Wilcox,2008,PF,25,62,28.0,13.4,7.0,1.2
Damien Wilkins,2008,SF,28,76,24.3,9.2,3.2,2.0
Donyell Marshall,2008,PF,34,26,13.1,3.8,2.9,0.4
Earl Watson,2008,PG,28,78,29.1,10.7,2.9,6.8
Eddie Gill,2008,PG,29,14,11.0,2.7,1.6,1.6
Francisco Elson,2008,C,31,63,12.9,3.3,3.2,0.4
Jeff Green,2008,SF,21,80,28.2,10.5,4.7,1.5
Johan Petro,2008,C,22,72,18.2,6.0,5.1,0.4
Kevin Durant,2008,SG,19,80,34.6,20.3,4.4,2.4
Luke Ridnour,2008,PG,26,61,20.0,6.4,1.5,4.0
MickaÃ«l Gelabale,2008,SG,24,39,11.9,4.3,1.5,0.8
Mike Wilks,2008,PG,28,15,12.5,2.7,1.3,0.9
Mouhamed Sene,2008,C,21,13,4.8,2.3,1.2,0.1
Nick Collison,2008,PF,27,78,28.5,9.8,9.4,1.4
Robert Swift,2008,C,22,8,12.3,1.8,2.3,0.1
Ronald Dupree,2008,SF,27,5,4.2,0.8,1.6,0.2
Ahmad Caver,2022,SG,25,1,1.0,2.0,0.0,0.0
Buddy Hield,2022,SG,29,81,30.9,15.6,4.4,2.8
Chris Duarte,2022,SG,24,55,28.0,13.1,4.1,2.1
DeJon Jarreau,2022,SG,24,1,1.0,0.0,0.0,0.0
Duane Washington Jr.,2022,PG,21,48,20.2,9.9,1.7,1.8
Gabe York,2022,SG,28,2,10.5,4.0,1.0,2.0
Goga Bitadze,2022,C,22,50,14.6,7.0,3.5,1.1
Isaiah Jackson,2022,C,20,36,15.0,8.3,4.1,0.3
Jalen Smith,2022,PF,21,51,18.1,9.2,6.0,0.5
Justin Anderson,2022,SF,28,16,19.8,6.4,2.9,2.1
Keifer Sykes,2022,PG,28,32,17.7,5.6,1.4,1.9
Lance Stephenson,2022,PG-SG,31,46,17.7,8.3,2.8,3.6
Malcolm Brogdon,2022,PG,29,36,33.5,19.1,5.1,5.9
Myles Turner,2022,C,25,42,29.4,12.9,7.1,1.0
Nate Hinton,2022,SG,22,2,1.0,0.0,0.0,0.0
Oshae Brissett,2022,SF,23,67,23.3,9.1,5.3,1.1
Reggie Perry,2022,PF,21,10,18.7,9.2,4.7,1.2
T.J. McConnell,2022,PG,29,27,24.1,8.5,3.3,4.9
Terry Taylor,2022,PF,22,33,21.6,9.6,5.2,1.2
Tyrese Haliburton,2022,SG-PG,21,77,35.0,15.3,4.0,8.2
Al Harrington,2003,SF,22,82,30.1,12.2,6.2,1.5
Austin Croshere,2003,PF,27,49,12.9,5.1,3.2,1.1
Brad Miller,2003,C,26,73,31.1,13.1,8.3,2.6
Erick Strickland,2003,SG,29,71,18.0,6.5,2.0,2.9
Fred Jones,2003,SG,23,19,6.1,1.2,0.5,0.3
Jamaal Tinsley,2003,PG,24,73,30.6,7.8,3.6,7.5
Jamison Brewer,2003,PG,22,10,8.0,2.2,0.9,1.8
Jeff Foster,2003,C,26,77,10.4,2.1,3.6,0.7
Jermaine O'Neal,2003,PF,24,77,37.2,20.8,10.3,2.0
Jonathan Bender,2003,SF,22,46,17.8,6.6,2.9,0.9
Metta World Peace,2003,SF,23,69,33.6,15.5,5.2,2.9
PrimoÅ¾ Brezec,2003,C,23,22,5.0,1.9,1.0,0.2
Reggie Miller,2003,SG,37,70,30.2,12.6,2.5,2.4
Ron Mercer,2003,SG,26,72,23.2,7.7,2.1,1.6
Tim Hardaway,2003,PG,36,10,12.7,4.9,1.5,2.4
Al Harrington,2004,PF,23,79,30.9,13.3,6.4,1.7
Anthony Johnson,2004,PG,29,73,21.9,6.2,1.8,2.8
Austin Croshere,2004,PF,28,77,13.6,5.0,3.2,0.7
Fred Jones,2004,SG,24,81,18.6,4.9,1.6,2.1
Jamaal Tinsley,2004,PG,25,52,26.5,8.3,2.6,5.8
James Jones,2004,SF,23,6,4.3,1.2,0.3,0.0
Jamison Brewer,2004,PG,23,13,12.3,2.5,0.8,1.3
Jeff Foster,2004,C,27,82,23.9,6.1,7.4,0.8
Jermaine O'Neal,2004,PF,25,78,35.7,20.1,10.0,2.1
Jonathan Bender,2004,SF,23,21,12.9,7.0,1.9,0.4
Kenny Anderson,2004,PG,33,44,20.6,6.0,1.8,2.8
Metta World Peace,2004,SF,24,73,37.2,18.3,5.3,3.7
PrimoÅ¾ Brezec,2004,C,24,18,4.0,1.6,0.8,0.2
Reggie Miller,2004,SG,38,80,28.2,10.0,2.4,3.1
Scot Pollard,2004,C,28,61,11.1,1.7,2.7,0.2
Al Harrington,2005,SF,24,66,38.6,17.5,7.0,3.2
Anthony Miller,2005,PF,33,2,4.5,2.0,0.5,0.5
Boris Diaw,2005,SG,22,66,18.2,4.8,2.6,2.3
Donta Smith,2005,SG,21,38,11.4,3.3,1.4,1.0
James Thomas,2005,PF,24,11,10.6,2.4,3.4,0.4
Jason Collier,2005,C,27,70,13.5,5.7,2.6,0.3
Jelani McCoy,2005,C,27,10,8.8,1.5,2.1,0.0
Josh Childress,2005,SG,21,80,29.7,10.1,6.0,1.9
Josh Smith,2005,SF,19,74,27.7,9.7,6.2,1.7
Kevin Willis,2005,C,42,29,11.9,3.0,2.6,0.3
Michael Stewart,2005,PF,29,12,12.1,2.1,3.3,0.4
Obinna Ekezie,2005,C,29,42,17.4,5.5,4.3,0.3
Predrag Drobnjak,2005,C,29,71,20.2,8.4,3.4,0.7
Royal Ivey,2005,PG,23,62,13.0,3.5,1.4,1.7
Tom Gugliotta,2005,PF,35,47,20.6,5.1,4.1,1.4
Tony Delk,2005,SG,31,56,23.9,11.9,2.3,1.9
Tyronn Lue,2005,PG,27,70,28.7,11.2,2.1,4.6
Al Harrington,2006,PF,25,76,36.6,18.6,6.9,3.1
Anthony Grundy,2006,SG,26,12,9.0,4.3,1.4,0.8
Donta Smith,2006,SG,22,23,5.5,1.7,0.6,0.4
Esteban Batista,2006,PF,22,57,8.7,1.8,2.5,0.1
Joe Johnson,2006,SG,24,82,40.7,20.2,4.1,6.5
John Edwards,2006,C,24,40,7.4,1.8,1.2,0.1
Josh Childress,2006,SF,22,74,30.4,10.0,5.2,1.8
Josh Smith,2006,SF,20,80,32.0,11.3,6.6,2.4
Marvin Williams,2006,PF,19,79,24.7,8.5,4.8,0.8
Royal Ivey,2006,PG,24,73,13.4,3.6,1.3,1.0
Salim Stoudamire,2006,SG,23,61,20.3,9.7,1.9,1.2
Tyronn Lue,2006,PG,28,51,24.2,11.0,1.6,3.1
Zaza Pachulia,2006,C,21,78,31.4,11.7,7.9,1.7
Al Harrington,2008,C,27,81,27.0,13.6,5.4,1.6
Andris BiedriÅ†Å¡,2008,C,21,76,27.3,10.5,9.8,1.0
Austin Croshere,2008,PF,32,44,10.4,3.9,2.4,0.7
Baron Davis,2008,PG,28,82,39.0,21.8,4.7,7.6
Brandan Wright,2008,PF,20,38,9.9,4.0,2.6,0.2
C.J. Watson,2008,PG,23,32,11.5,3.7,1.0,1.1
Chris Webber,2008,PF,34,9,14.0,3.9,3.6,2.0
Kelenna Azubuike,2008,SG,24,81,21.4,8.5,4.0,0.9
Kosta PeroviÄ‡,2008,C,22,7,5.4,1.4,1.9,0.1
Marco Belinelli,2008,SG,21,33,7.3,2.9,0.4,0.5
Matt Barnes,2008,PF,27,73,19.4,6.7,4.4,1.9
MickaÃ«l PiÃ©trus,2008,SF,25,66,19.9,7.2,3.7,0.7
Monta Ellis,2008,SG,22,81,37.9,20.2,5.0,3.9
Patrick O'Bryant,2008,C,21,24,4.1,1.5,1.2,0.2
Stephen Jackson,2008,SF,29,73,39.1,20.1,4.4,4.1
Troy Hudson,2008,PG,31,9,10.3,3.1,0.8,1.0
Al Harrington,2009,PF,28,73,34.9,20.1,6.2,1.4
Cheikh Samb,2009,C,24,18,4.6,0.8,1.3,0.1
Chris Duhon,2009,PG,26,79,36.8,11.1,3.1,7.2
Chris Wilcox,2009,C,26,62,16.9,7.2,4.5,0.8
Courtney Sims,2009,C,25,2,6.5,3.0,2.0,0.0
Danilo Gallinari,2009,SG,20,28,14.7,6.1,2.0,0.5
David Lee,2009,C,25,81,34.9,16.0,11.7,2.1
Demetris Nichols,2009,SF,24,4,3.5,1.8,0.5,0.3
Eddy Curry,2009,C,26,3,4.0,1.7,1.3,0.0
Jared Jeffries,2009,SF,27,56,23.4,5.3,4.1,1.4
Jerome James,2009,C,33,2,5.0,3.0,1.5,0.0
Joe Crawford,2009,SF,22,2,11.5,4.5,2.0,0.5
Larry Hughes,2009,SF-SG,30,55,26.9,11.6,2.9,2.2
Mouhamed Sene,2009,C,22,6,4.8,3.3,2.3,0.0
Nate Robinson,2009,PG,24,74,29.9,17.2,3.9,4.1
Quentin Richardson,2009,SG,28,72,26.3,10.2,4.4,1.6
Wilson Chandler,2009,SF,21,82,33.4,14.4,5.4,2.1
Al Harrington,2010,PF,29,72,30.5,17.7,5.6,1.5
Chris Duhon,2010,PG,27,67,30.9,7.4,2.7,5.6
Danilo Gallinari,2010,SF,21,81,33.9,15.1,4.9,1.7
David Lee,2010,C,26,81,37.3,20.2,11.7,3.6
Earl Barron,2010,C,28,7,33.1,11.7,11.0,1.1
Eddie House,2010,PG-SG,31,68,17.9,7.0,1.6,1.3
Eddy Curry,2010,C,27,7,8.9,3.7,1.9,0.0
Henry Walker,2010,SG-SF,22,35,21.9,9.4,2.5,1.1
J.R. Giddens,2010,SF,24,32,7.5,2.2,1.6,0.4
Jonathan Bender,2010,SF,29,25,11.7,4.7,2.1,0.6
Sergio RodrÃ­guez,2010,PG,23,66,15.9,6.6,1.3,3.2
Toney Douglas,2010,PG,23,56,19.4,8.6,1.9,2.0
Tracy McGrady,2010,SG,30,30,22.4,8.2,3.1,3.3
Wilson Chandler,2010,SG,22,65,35.7,15.3,5.4,2.1
Al Harrington,2011,PF,30,73,22.8,10.5,4.5,1.4
Arron Afflalo,2011,SG,25,69,33.7,12.6,3.6,2.4
Chris Andersen,2011,C,32,45,16.3,5.6,4.9,0.4
Danilo Gallinari,2011,PF-SF,22,62,33.9,15.6,4.9,1.7
Gary Forbes,2011,SF,25,63,12.6,5.2,1.8,0.8
J.R. Smith,2011,SF,25,79,24.9,12.3,4.1,2.2
Kenyon Martin,2011,PF,33,48,25.7,8.6,6.2,2.3
Kosta Koufos,2011,C,21,50,8.7,3.2,2.6,0.1
Melvin Ely,2011,C,32,30,12.2,2.3,2.5,0.5
NenÃª,2011,C,28,75,30.5,14.5,7.6,2.0
Raymond Felton,2011,PG-SG,26,75,36.5,15.5,3.6,8.3
Timofey Mozgov,2011,C,24,45,11.6,3.6,2.7,0.3
Ty Lawson,2011,PG,23,80,26.3,11.7,2.6,4.7
Wilson Chandler,2011,SF,23,72,33.3,15.3,5.7,1.7
Al Harrington,2012,PF,31,64,27.5,14.2,6.1,1.4
Andre Miller,2012,SG,35,66,27.4,9.7,3.3,6.7
Arron Afflalo,2012,SG,26,62,33.6,15.2,3.2,2.4
Chris Andersen,2012,C,33,32,15.2,5.3,4.6,0.2
Corey Brewer,2012,SF,25,59,21.8,8.9,2.5,1.5
Danilo Gallinari,2012,SF,23,43,31.4,14.6,4.7,2.7
JaVale McGee,2012,C,24,61,25.2,11.3,7.8,0.5
Jordan Hamilton,2012,SF,21,26,9.9,4.4,2.4,0.8
Julyan Stone,2012,SG,23,22,8.1,1.6,1.1,1.7
Kenneth Faried,2012,PF,22,46,22.5,10.2,7.7,0.8
Kosta Koufos,2012,C,22,48,16.5,5.5,5.4,0.3
Rudy FernÃ¡ndez,2012,SG,26,31,22.9,8.6,2.1,2.4
Timofey Mozgov,2012,C,25,44,15.6,5.4,4.1,0.5
Ty Lawson,2012,PG,24,61,34.8,16.4,3.7,6.6
Wilson Chandler,2012,SF,24,8,26.9,9.4,5.1,2.1
Al Harrington,2013,C,32,10,11.9,5.1,2.7,1.0
Andrew Nicholson,2013,PF,23,75,16.7,7.8,3.4,0.6
Arron Afflalo,2013,SF,27,64,36.0,16.5,3.7,3.2
Beno Udrih,2013,SG-PG,30,66,22.1,8.2,2.1,4.6
DeQuan Jones,2013,SF,22,63,12.7,3.7,1.7,0.3
Doron Lamb,2013,SG,21,47,12.3,3.3,1.0,0.7
E'Twaun Moore,2013,SG,23,75,22.4,7.8,2.2,2.7
Glen Davis,2013,PF,27,34,31.3,15.1,7.2,2.1
Hedo TÃ¼rkoÄŸlu,2013,SF,33,11,17.2,2.9,2.4,2.1
Jameer Nelson,2013,PG,30,56,35.3,14.7,3.7,7.4
Kyle O'Quinn,2013,C,22,57,11.2,4.1,3.7,0.9
Maurice Harkless,2013,SF,19,76,26.0,8.2,4.4,0.7
Nikola VuÄeviÄ‡,2013,C,22,77,33.2,13.1,11.9,1.9
Tobias Harris,2013,SF-PF,20,55,23.6,11.0,5.2,1.3
Al Harrington,2014,PF,33,34,15.0,6.6,2.4,0.8
Andre Miller,2014,SG,37,58,16.9,4.9,2.2,3.4
Bradley Beal,2014,SG,20,73,34.7,17.1,3.7,3.3
Chris Singleton,2014,SF,24,25,10.0,3.0,2.2,0.2
Drew Gooden,2014,C,32,22,18.0,8.3,5.2,0.7
Garrett Temple,2014,SG,27,75,8.5,1.8,0.9,1.0
Glen Rice Jr.,2014,SG,23,11,9.9,2.9,1.8,0.6
John Wall,2014,PG,23,82,36.3,19.3,4.1,8.8
Kevin SÃ©raphin,2014,C,24,53,10.9,4.7,2.4,0.3
Marcin Gortat,2014,C,29,81,32.8,13.2,9.5,1.7
Martell Webster,2014,SF,27,78,27.7,9.7,2.8,1.2
NenÃª,2014,PF,31,53,29.4,14.2,5.5,2.9
Otto Porter Jr.,2014,SF,20,37,8.6,2.1,1.5,0.3
Trevor Ariza,2014,SF,28,77,35.4,14.4,6.2,2.5
Trevor Booker,2014,PF,26,72,21.6,6.8,5.3,0.9
Al Horford,2010,C,23,81,35.1,14.2,9.9,2.3
Jamal Crawford,2010,SG,29,79,31.1,18.0,2.5,3.0
Jason Collins,2010,C,31,24,4.8,0.7,0.6,0.2
Jeff Teague,2010,PG,21,71,10.1,3.2,0.9,1.7
Joe Johnson,2010,SG,28,76,38.0,21.3,4.6,4.9
Joe Smith,2010,PF,34,64,9.3,3.0,2.5,0.3
Josh Smith,2010,PF,24,81,35.4,15.7,8.7,4.2
Mario West,2010,SG,25,39,3.6,0.8,0.7,0.2
Marvin Williams,2010,SF,23,81,30.5,10.1,5.1,1.1
Maurice Evans,2010,SF,31,79,16.7,5.7,1.9,0.6
Mike Bibby,2010,PG,31,80,27.4,9.1,2.3,3.9
Othello Hunter,2010,SF,23,7,4.7,1.6,1.7,0.0
Randolph Morris,2010,PF,24,28,4.4,2.2,1.4,0.1
Zaza Pachulia,2010,C,25,78,14.0,4.3,3.8,0.5
Al Horford,2011,C,24,77,35.1,15.3,9.3,3.5
Damien Wilkins,2011,SF,31,52,13.0,3.5,1.7,0.8
Etan Thomas,2011,C,32,13,6.3,2.5,1.8,0.2
Hilton Armstrong,2011,C,26,53,9.2,1.7,2.5,0.3
Jamal Crawford,2011,SG,30,76,30.2,14.2,1.7,3.2
Jason Collins,2011,C,32,49,12.1,2.0,2.1,0.4
Jeff Teague,2011,PG,22,70,13.8,5.2,1.5,2.0
Joe Johnson,2011,SG,29,72,35.5,18.2,4.0,4.7
Josh Powell,2011,PF,28,54,12.1,4.1,2.5,0.4
Josh Smith,2011,PF,25,77,34.4,16.5,8.5,3.3
Kirk Hinrich,2011,SG-PG,30,72,30.0,10.2,2.5,4.0
Marvin Williams,2011,SF,24,65,28.7,10.4,4.8,1.4
Pape Sy,2011,SF,22,3,7.0,2.3,1.0,0.7
Zaza Pachulia,2011,C,26,79,15.7,4.4,4.2,0.7
Al Horford,2012,C,25,11,31.6,12.4,7.0,2.2
Erick Dampier,2012,C,36,15,5.5,0.1,1.7,0.3
Ivan Johnson,2012,PF,27,56,16.7,6.4,4.0,0.6
Jannero Pargo,2012,PG,32,50,13.4,5.6,1.5,1.9
Jason Collins,2012,C,33,30,10.3,1.3,1.6,0.3
Jeff Teague,2012,PG,23,66,33.1,12.6,2.4,4.9
Jerry Stackhouse,2012,SF,37,30,9.1,3.6,0.8,0.5
Joe Johnson,2012,SG,30,60,35.5,18.8,3.7,3.9
Josh Smith,2012,PF,26,66,35.3,18.8,9.6,3.9
Kirk Hinrich,2012,SG,31,48,25.8,6.6,2.1,2.8
Marvin Williams,2012,SF,25,57,26.3,10.2,5.2,1.2
Tracy McGrady,2012,SF,32,52,16.1,5.3,3.0,2.1
Vladimir RadmanoviÄ‡,2012,SF,31,49,15.4,4.5,2.9,1.1
Willie Green,2012,SG,30,53,17.4,7.6,1.5,0.8
Zaza Pachulia,2012,C,27,58,28.3,7.8,7.9,1.4
Al Horford,2013,C,26,74,37.2,17.4,10.2,3.2
Anthony Tolliver,2013,SF,27,62,15.5,4.1,2.5,0.5
Dahntay Jones,2013,SF,32,78,13.0,3.4,1.3,0.6
DeShawn Stevenson,2013,SG,31,56,20.7,5.1,2.2,0.9
Devin Harris,2013,SG,29,58,24.5,9.9,2.0,3.4
Ivan Johnson,2013,PF,28,69,15.0,6.6,3.9,0.7
Jeff Teague,2013,PG,24,80,32.9,14.6,2.3,7.2
Jeremy Tyler,2013,C,21,21,3.2,1.0,1.0,0.0
Johan Petro,2013,C,27,31,11.4,3.5,3.6,0.5
John Jenkins,2013,SG,21,61,14.8,6.1,1.5,0.9
Josh Smith,2013,PF,27,76,35.3,17.5,8.4,4.2
Kyle Korver,2013,SF,31,74,30.5,10.9,4.0,2.0
Lou Williams,2013,SG,26,39,28.7,14.1,2.1,3.6
Mike Scott,2013,PF,24,40,9.4,4.6,2.8,0.3
Shelvin Mack,2013,PG-SG,22,31,13.4,4.6,1.3,2.2
Zaza Pachulia,2013,C,28,52,21.8,5.9,6.5,1.5
Al Horford,2014,C,27,29,33.0,18.6,8.4,2.6
DeMarre Carroll,2014,SF,27,73,32.1,11.1,5.5,1.8
Dennis SchrÃ¶der,2014,PG,20,49,13.1,3.7,1.2,1.9
Dexter Pittman,2014,C,25,2,1.5,0.0,1.5,0.0
Elton Brand,2014,C,34,73,19.4,5.7,4.9,1.0
Gustavo AyÃ³n,2014,C,28,26,16.5,4.3,4.8,1.1
Jeff Teague,2014,PG,25,79,32.2,16.5,2.6,6.7
John Jenkins,2014,SG,22,13,12.2,3.1,1.7,0.8
Kyle Korver,2014,SG,32,71,33.9,12.0,4.0,2.9
Lou Williams,2014,PG,27,60,24.1,10.4,2.1,3.5
Mike Muscala,2014,PF,22,20,10.8,3.8,2.6,0.4
Mike Scott,2014,PF,25,80,18.5,9.6,3.6,0.9
Paul Millsap,2014,PF,28,74,33.5,17.9,8.5,3.1
Pero AntiÄ‡,2014,C,31,50,18.5,7.0,4.2,1.2
Shelvin Mack,2014,PG,23,73,20.4,7.5,2.2,3.7
Al Horford,2015,C,28,76,30.5,15.2,7.2,3.2
